Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,1u,
C10,0603,1,1uF,
"C11, C20, C22, C24, C28, C30, C5, C7, C9",0603,9,100nF,
"C12, C17, C21, C26, C27, C32, C33",0805,7,100nF,
"C15, C16",0603,2,20pF,
C3,0805,1,10u,
C4,0805,1,22u,
"C6, C8",0603,2,10nF,
"D1, D2, D4",0603,3,150060VS75000,
J1,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Receptacle,
J2,PinHeader_1x02_P2.00mm_Vertical,1,DC 5V In,
J3,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x06,
"J4, J6",Molex_MicroClasp_55935-0230_1x02_P2.00mm_Horizontal,2,Thermistor Molex,
J8,SMA_Amphenol_132289_EdgeMount,1,SMA,
L1,1008,1,2.2u,
Q1,SOT-23-3,1,MMBT2222A-TP,
"R1, R2",0805,2,5k1,
"R15, R16, R18, R19, R22, R23, R26, R28, R30, R31, R34, R35, R38",0603,13,10k,
"R3, R5",0805,2,100k,
R4,0805,1,312k,
"R40, R44",0603,2,56,
R41,0603,1,22,
R43,0603,1,390,
"R6, R7",0603,2,1k,
R9,0603,1,0,
SW2,SW_EVP-AWED4A,1,SW_Push,
SW3,SWITCH_1SCQN,1,SW_SPDT,
U1,SOT-23-5,1,AP2112K-1.8,
U10,ublox_MAX,1,MAX-M10S,
U2,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62160DSG,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F373CCTx,
U4,LGA-14L_STM,1,LSM6DSRXTR,
"U5, U8",SOT-353_SC-70-5,2,MCP6L01x-xLT,
U7,LGA9_BMP585_BOS,1,BMP585,
X1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
