Designator,Mid X,Mid Y,Rotation,Layer
C1,137.90413,-113.9,180.0,top
C10,149.3,-116.2,270.0,top
C11,153.4,-103.625,90.0,top
C12,149.1,-98.7,90.0,top
C15,161.325,-105.3,180.0,top
C16,156.6,-103.625,90.0,top
C17,146.95,-98.7,90.0,top
C2,137.95,-107.6,180.0,top
C20,145.75,-106.65,0.0,top
C21,144.35,-107.65,90.0,bottom
C22,154.7,-92.325,90.0,bottom
C24,156.3,-98.55,270.0,bottom
C26,161.15,-106.6,90.0,bottom
C27,164.6,-113.5,180.0,bottom
C28,152.22,-98.825,270.0,bottom
C3,139.83,-121.1075,180.0,top
C30,152.17,-93.975,90.0,bottom
C32,154.35,-118.45,180.0,bottom
C33,157.05,-104.0,180.0,bottom
C4,136.7,-118.05,270.0,top
C5,160.675,-106.9,0.0,top
C6,151.85,-103.625,90.0,top
C7,160.675,-108.45,0.0,top
C8,147.75,-116.2,270.0,top
C9,147.95,-111.9,270.0,top
D1,135.69,-98.2625,90.0,top
D2,137.49,-98.2625,90.0,top
D4,139.39,-98.275,90.0,top
H1,168.1,-102.9,0.0,top
H2,137.0,-102.9,0.0,top
J1,157.2,-125.57,0.0,top
J2,164.2,-128.7,180.0,top
J3,143.44,-126.725,270.0,top
J4,163.8,-95.2,270.0,bottom
J6,143.17,-95.15,90.0,bottom
J8,169.5875,-125.45,180.0,bottom
L1,141.8425,-114.8575,180.0,top
Q1,142.42,-99.1125,0.0,top
R1,149.65,-126.2,0.0,bottom
R15,162.35,-111.35,90.0,top
R16,159.525,-94.15,0.0,bottom
R18,159.545,-99.65,0.0,bottom
R19,159.525,-98.1,180.0,bottom
R2,149.65,-124.2,0.0,bottom
R22,159.525,-92.65,180.0,bottom
R23,159.525,-96.55,180.0,bottom
R26,157.155,-91.15,180.0,bottom
R28,147.57,-97.05,180.0,bottom
R3,138.7,-118.2,90.0,top
R30,147.5,-91.5,180.0,bottom
R31,147.52,-93.05,0.0,bottom
R34,147.545,-98.6,0.0,bottom
R35,147.545,-94.6,0.0,bottom
R38,149.17,-100.2,0.0,bottom
R4,145.3675,-118.2075,270.0,top
R40,135.69,-95.125,90.0,top
R41,137.5,-95.15,90.0,top
R43,142.82,-101.7125,180.0,top
R44,139.37,-95.1625,90.0,top
R5,144.4675,-121.1075,180.0,top
R6,149.575,-101.4,0.0,top
R7,146.475,-101.4,180.0,top
R9,155.0,-103.625,270.0,top
SW2,145.075,-108.65,0.0,top
SW3,167.5338,-112.3,180.0,top
U1,140.15413,-110.8125,270.0,top
U10,153.3,-111.45,270.0,bottom
U2,141.9675,-118.4575,90.0,top
U3,153.95,-111.4,180.0,top
U4,144.950001,-111.3397,90.0,bottom
U5,156.6875,-94.7125,90.0,bottom
U7,162.0808,-110.35,180.0,bottom
U8,150.22,-96.3625,270.0,bottom
X1,159.45,-103.3,180.0,top
